フォトコン名,開始日,終了日,参加方法,主催者,元ポストのURL
ゆるフォト交流会 第一回フォトコン,2025/12/27,2025/01/10,"#ゆるフォト交流会 を付けてX投稿（テーマ: 2025年お気に入りの一枚）。詳細は主催者固定ツイート参照。レタッチ自由。",駄狐 こん (@psk_esk),https://x.com/psk_esk/status/2004839828488421678
第二回TMフォトコン,2026/01/15,2026/02/15,"VRCデフォルトカメラ使用、レタッチ・編集不可、センシティブNG。テーマ「SHIK」（四季/指揮/私記など解釈自由）。応募詳細スレッド参照、全作品展示ワールド掲載。",写真グループ【TMPY】 (@akira_VRC0614),https://x.com/akira_VRC0614/status/2005221689425318076
第6回Velleフォトコン,2025/12/14,2026/01/04,"#Velleフォトコン でX投稿（Velle被写体、同意必須、VRC撮影、レタッチOK、NSFW NG、1投稿4枚まで）。最終日ポスト選考。",こま (@kommma_),https://x.com/kommma_/status/2001567949547802873
まめひなたフォトコン,2025/12/22,2025/01/12,#まめひなたフォトコン と参加部門のタグをつけてX投稿。 お正月部門とサンプルアバター部門。レタッチ自由、生成AI不可。,いすたー (@ist_vrc),https://x.com/ist_vrc/status/2002756059266761019
